"","park_proportion","distance_park","id","year","radius"
"1",0.0438800239462662,16.2765532256867,6,2022,1000
"2",0.0898873863126939,0,16,2022,1000
"3",0.020853621147277,90.0334542114301,2,2022,1000
"4",0.0791405470256478,0,3,2022,1000
"5",0.0839079416954552,133.454008575406,4,2022,1000
"6",0.0703802355433771,0,7,2022,1000
"7",0.116854164742839,0,8,2022,1000
"8",0.0844740716060809,167.497212798147,9,2022,1000
"9",0.0938057832309351,0.819084663140843,10,2022,1000
"10",0.0452013692538693,1.53967224525522,11,2022,1000
"11",0.0904344018707036,20.7152560553251,12,2022,1000
"12",0.0869998231748232,0,13,2022,1000
"13",0.0639092147279347,3.50388424790192,14,2022,1000
"14",0.0206331134845431,860.794926969133,15,2022,1000
"15",0.107440530475347,37.0004876989203,17,2022,1000
"16",0.0650037364009512,111.88809949356,18,2022,1000
"17",0.0882868685331755,3.34802161571858,19,2022,1000
"18",0.0437986542246845,8.59696733007006,20,2022,1000
"19",0.0318273477488727,119.298211428465,21,2022,1000
"20",0.0876790906711279,0,22,2022,1000
"21",0.100768569334059,45.1018437224448,23,2022,1000
"22",0.0829899763587922,0,24,2022,1000
"23",0.292925850256887,148.217000930095,26,2022,1000
"24",0.0482454770446286,47.8913361341836,27,2022,1000
"25",0.0931146913462864,0.601787229962363,28,2022,1000
"26",0.0369446077718448,0.431734683089206,29,2022,1000
