"","total_pop_2010","ACCESS2_CrudePrev","ARTHRITIS_CrudePrev","BINGE_CrudePrev","BPHIGH_CrudePrev","BPMED_CrudePrev","CANCER_CrudePrev","CASTHMA_CrudePrev","CERVICAL_CrudePrev","CHD_CrudePrev","CHECKUP_CrudePrev","CHOLSCREEN_CrudePrev","COLON_SCREEN_CrudePrev","COPD_CrudePrev","COREM_CrudePrev","COREW_CrudePrev","CSMOKING_CrudePrev","DENTAL_CrudePrev","DEPRESSION_CrudePrev","DIABETES_CrudePrev","GHLTH_CrudePrev","HIGHCHOL_CrudePrev","KIDNEY_CrudePrev","LPA_CrudePrev","MAMMOUSE_CrudePrev","MHLTH_CrudePrev","OBESITY_CrudePrev","PHLTH_CrudePrev","SLEEP_CrudePrev","STROKE_CrudePrev","TEETHLOST_CrudePrev","id","year","radius"
"1","15166.088583","8.698436","16.570601","19.059147","22.475346","61.72666","4.969616","9.61605","83.514328","3.69011","68.50113","83.497007","67.058063","3.284275","34.00476","29.995594","10.816695","71.869959","0","7.658375","0","24.544363","2.158132","13.235015","77.272655","12.121296","25.206351","8.817921","31.318462","2.247398","7.444991",6,2017,1000
"2","15166.088583","8.698436","16.570601","19.059147","22.475346","61.72666","4.969616","9.61605","83.514328","3.69011","68.50113","83.497007","67.058063","3.284275","34.00476","29.995594","10.816695","71.869959","0","7.658375","0","24.544363","2.158132","13.235015","77.272655","12.121296","25.206351","8.817921","31.318462","2.247398","7.444991",6,2018,1000
"3","19875.253292","6.648731","13.157891","22.122324","16.865452","55.367897","4.546291","8.346073","84.602883","2.747463","65.560152","83.149511","70.140696","2.370002","40.494983","36.065635","8.346093","78.047229","0","4.824703","0","21.863805","1.547738","9.547939","75.95929","10.285178","20.749948","6.462937","28.30855","1.428147","4.074177",16,2017,1000
"4","19875.253292","6.648731","13.157891","22.122324","16.865452","55.367897","4.546291","8.346073","84.602883","2.747463","65.560152","83.149511","70.140696","2.370002","40.494983","36.065635","8.346093","78.047229","0","4.824703","0","21.863805","1.547738","9.547939","75.95929","10.285178","20.749948","6.462937","28.30855","1.428147","4.074177",16,2018,1000
"5","12957.151275","6.16416","15.353889","21.695297","18.068335","56.55347","5.326917","8.708903","87.21537","2.993984","66.575478","85.090684","70.619508","2.743639","40.734873","35.583544","8.887391","79.219679","0","5.112724","0","23.889699","1.71393","9.725745","75.590948","10.33712","22.060444","7.041392","27.929668","1.540203","4.246322",2,2017,1000
"6","12957.151275","6.16416","15.353889","21.695297","18.068335","56.55347","5.326917","8.708903","87.21537","2.993984","66.575478","85.090684","70.619508","2.743639","40.734873","35.583544","8.887391","79.219679","0","5.112724","0","23.889699","1.71393","9.725745","75.590948","10.33712","22.060444","7.041392","27.929668","1.540203","4.246322",2,2018,1000
"7","9466.584654","10.916018","18.331755","18.252034","22.839605","60.313524","5.322178","9.644178","82.476291","4.201765","67.878673","83.193498","63.622822","4.149469","34.790855","31.275427","13.084172","68.926697","0","8.086657","0","26.722236","2.245092","15.61892","73.412772","13.068017","25.668761","10.337183","32.472124","2.330429","8.280426",3,2017,1000
"8","9466.584654","10.916018","18.331755","18.252034","22.839605","60.313524","5.322178","9.644178","82.476291","4.201765","67.878673","83.193498","63.622822","4.149469","34.790855","31.275427","13.084172","68.926697","0","8.086657","0","26.722236","2.245092","15.61892","73.412772","13.068017","25.668761","10.337183","32.472124","2.330429","8.280426",3,2018,1000
"9","5517.980376","11.849119","18.566376","15.334489","25.358578","65.792057","5.132623","8.464056","76.873421","4.957134","69.463512","84.328826","60.567719","4.01646","33.694072","29.68878","12.732613","65.99878","0","10.892785","0","29.430798","2.46994","18.295884","72.944306","11.472341","22.125845","10.564161","33.519623","2.654453","8.393773",4,2017,1000
"10","5517.980376","11.849119","18.566376","15.334489","25.358578","65.792057","5.132623","8.464056","76.873421","4.957134","69.463512","84.328826","60.567719","4.01646","33.694072","29.68878","12.732613","65.99878","0","10.892785","0","29.430798","2.46994","18.295884","72.944306","11.472341","22.125845","10.564161","33.519623","2.654453","8.393773",4,2018,1000
