"","variable_name","min","max","median","NA_count"
"1","COUNTHU10",59.12,150063,16498.66,0
"2","TOTPOP10",139.19,274558.88,32655.4,0
"3","HH",53.74,137669.51,15376.91,0
"4","WORKERS",63.84,138597.17,16015.29,0
"5","AC_TOT",191.6,21142.68,5427.52,0
"6","AC_WATER",0,5629.24,863.4,0
"7","AC_LAND",157.99,17613.71,4315.5,0
"8","AC_UNPR",140.95,16379.93,4020.24,0
"9","NatWalkInd",12.65,19.27,15.69,0
